City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,fortuna,US,1731396061,40.5982,-124.1573,8.53,96,40,0.0
184,anna regina,GY,1731396061,7.2644,-58.5077,25.48,89,78,4.5
185,fukuecho,JP,1731396062,32.6881,128.8419,20.2,64,20,4.63
186,levuka,CA,1731396062,50.1834,-105.4011,4.84,66,100,7.47
187,taoudenni,ML,1731396062,22.6783,-3.9836,22.89,24,100,3.01
188,amos,CA,1731396062,48.5669,-78.1162,-2.14,81,100,4.81
189,avarua,CK,1731396063,-21.2078,-159.775,22.03,68,75,2.57
190,khandyga,RU,1731396063,62.6667,135.6,-23.13,100,80,1.09
191,oran,DZ,1731396063,35.6911,-0.6417,15.75,68,0,2.34
192,harlingen,US,1731396063,26.1906,-97.6961,22.28,100,22,3.11
193,saint-philippe,RE,1731396064,-21.3585,55.7679,24.73,75,43,5.34
194,alesund,NO,1731396064,62.4723,6.1549,10.42,81,75,6.69
195,chimore,BO,1731396064,-16.9833,-65.1333,23.02,99,60,0.63
196,chui,UY,1731396064,-33.6971,-53.4616,9.66,85,0,4.57
197,punta arenas,CL,1731395861,-53.15,-70.9167,9.06,76,40,12.35
198,yuzhno-kurilsk,RU,1731396065,44.0306,145.8556,7.8,95,100,5.1
199,matane,CA,1731396065,48.8286,-67.522,1.59,99,100,1.14
200,hamilton,US,1731396066,39.1834,-84.5333,6.72,79,0,3.09
201,klaksvik,FO,1731396066,62.2266,-6.589,11.1,89,88,9.8
202,san andres,CO,1731396066,12.5847,-81.7006,25.01,94,20,1.03
203,ulety,RU,1731396066,51.3572,112.4849,-2.45,63,100,1.33
204,alice springs,AU,1731396067,-23.7,133.8833,29.75,39,100,5.66
205,riverton,US,1731396067,40.5219,-111.9391,13.09,41,40,7.2
206,aasiaat,GL,1731396067,68.7098,-52.8699,-3.05,73,92,8.3
207,carnarvon,AU,1731396067,-24.8667,113.6333,24.75,60,98,10.91
208,sabi,GM,1731396068,13.2333,-14.2,22.55,32,100,0.64
209,karachi,PK,1731396068,24.9056,67.0822,31.9,48,40,3.09
210,mount pearl,CA,1731396068,47.5166,-52.7813,8.51,95,100,10.29
211,itoman,JP,1731396069,26.1247,127.6694,25.01,83,75,6.69
212,murzuq,LY,1731396069,25.9155,13.9184,17.68,26,6,3.32
213,junin de los andes,AR,1731396069,-39.9504,-71.0694,5.75,85,100,3.51
214,brookings,US,1731396069,44.3114,-96.7984,1.21,84,0,4.63
215,cold lake,CA,1731396069,54.4502,-110.2017,0.97,93,100,1.03
216,kapuskasing,CA,1731396070,49.4169,-82.4331,-3.0,93,100,3.6
217,peace river,CA,1731396070,56.2501,-117.286,1.17,100,100,4.63
218,at taj,LY,1731396070,24.2049,23.2857,18.13,29,5,3.03
219,gadzhiyevo,RU,1731396070,69.2551,33.3362,2.3,86,100,6.01
220,happy valley-goose bay,CA,1731396071,53.3168,-60.3315,0.17,93,100,4.12
221,pierre,US,1731396071,44.3683,-100.351,2.51,87,0,9.39
222,inarajan village,GU,1731396072,13.2736,144.7484,28.55,90,18,3.47
223,usinsk,RU,1731396072,65.9939,57.5281,-11.34,94,21,4.69
224,suratgarh,IN,1731396072,29.3167,73.9,31.53,18,3,2.98
225,labytnangi,RU,1731396073,66.6572,66.4183,-18.31,97,95,1.62
226,bel ombre,SC,1731396073,-4.6167,55.4167,26.91,89,75,2.06
227,granger,US,1731396073,41.7481,-86.1257,4.94,84,0,4.12
228,maitum,PH,1731396073,6.0392,124.4986,28.94,75,93,1.64
229,viedma,AR,1731396073,-40.8135,-62.9967,12.65,49,100,3.71
230,sarangani,PH,1731396074,5.4033,125.4636,29.16,69,80,2.76
231,dalbandin,PK,1731396074,28.8947,64.4101,22.97,20,0,3.91
232,gorontalo,ID,1731396074,0.5412,123.0595,29.41,79,100,0.57
233,tanhacu,BR,1731396074,-14.0214,-41.2481,20.91,94,93,1.74
234,taroudant,MA,1731396075,30.4703,-8.877,13.44,93,0,0.38
235,kingston,JM,1731396075,17.997,-76.7936,26.53,83,20,2.06
236,muntok,ID,1731396075,-2.0667,105.1833,28.27,76,99,1.94
237,ust'-kulom,RU,1731396075,61.6864,53.6902,-0.27,94,100,3.79
238,talara,PE,1731396076,-4.5772,-81.2719,17.47,90,10,6.44
239,jejuri,IN,1731396076,18.2833,74.1667,27.45,31,8,4.0
240,alotau,PG,1731396076,-10.3069,150.4462,26.97,85,100,2.67
241,waingapu,ID,1731396076,-9.6567,120.2641,32.02,51,83,5.14
242,port-cartier,CA,1731396077,50.0334,-66.8654,0.13,93,97,1.6
243,pacific grove,US,1731396077,36.6177,-121.9166,11.35,96,0,2.57
244,kerikeri,NZ,1731396077,-35.2268,173.9474,14.92,84,100,1.41
245,nar'yan-mar,RU,1731396078,67.6713,53.087,-11.77,90,82,2.67
246,juba,SS,1731396078,4.8517,31.5825,27.54,64,33,1.78
247,kailua-kona,US,1731396050,19.6406,-155.9956,25.98,74,75,2.57
248,wad rawah,SD,1731396078,15.1603,33.1397,30.29,42,0,6.75
249,tomohon,ID,1731396079,1.3346,124.8392,25.52,84,99,0.39
250,pisco,PE,1731396079,-13.7,-76.2167,16.12,82,0,1.03
251,bunia,CD,1731396079,1.5667,30.25,19.15,91,100,2.73
252,city of balikpapan,ID,1731396079,-1.242,116.8942,30.97,62,20,1.54
253,lyepyel',BY,1731396079,54.8814,28.6932,1.6,72,22,1.85
254,tazacorte,ES,1731396080,28.629,-17.9293,20.54,66,20,4.63
255,haiku-pauwela,US,1731396080,20.9219,-156.3051,24.01,80,40,10.29
256,kurmuk,SD,1731396081,10.55,34.2833,29.54,52,7,1.61
257,wauseon,US,1731396081,41.5492,-84.1416,6.82,84,100,4.12
258,mirnyy,RU,1731396081,62.5353,113.9611,-8.41,96,100,1.8
259,auki,SB,1731396081,-8.7676,160.7034,27.28,82,100,1.1
260,tura,IN,1731396081,25.5198,90.2201,27.36,49,0,1.74
261,al burayqah,LY,1731396082,30.4062,19.5739,20.67,42,1,6.46
262,goalpara,IN,1731396082,26.1667,90.6167,28.05,56,0,2.42
263,los zacatones,MX,1731396083,22.95,-102.05,15.34,63,6,7.32
264,kyabram,AU,1731396083,-36.3167,145.05,23.22,41,99,5.07
265,oyon,PE,1731396083,-10.6681,-76.7731,3.29,90,100,1.05
266,gwadar,PK,1731396083,25.1216,62.3254,29.8,32,5,0.41
267,pandan,PH,1731396084,14.0453,124.1694,28.6,80,28,3.14
268,lata,PT,1731396084,40.1629,-8.3327,7.61,82,0,1.97
269,thunder bay,CA,1731396084,48.4001,-89.3168,-4.01,100,75,2.06
270,letlhakane,BW,1731396084,-21.4167,25.5833,22.02,68,91,7.0
271,silapathar,IN,1731396085,26.206,93.8095,26.93,62,0,2.56
272,lae,PG,1731396085,-6.7221,146.9847,26.42,81,98,3.37
273,forster,AU,1731396085,-32.1667,152.5167,20.21,93,100,2.09
274,praia da vitoria,PT,1731396086,38.7333,-27.0667,20.14,94,75,9.63
275,antsiranana,MG,1731396086,-12.2787,49.2917,31.42,58,75,6.17
276,bankim,CM,1731396086,6.083,11.4905,22.6,53,98,0.66
277,banda aceh,ID,1731396086,5.5577,95.3222,28.32,73,100,1.51
278,tosontsengel,MN,1731396086,48.7567,98.2839,0.48,56,100,7.26
279,fale old settlement,TK,1731396087,-9.3852,-171.2468,28.57,73,17,7.03
280,bani walid,LY,1731396087,31.7566,13.9942,18.23,72,0,0.48
281,gordon,US,1731396088,34.5004,-84.8666,13.3,97,0,0.45
282,bakanas,KZ,1731396088,44.8081,76.2772,2.21,97,100,3.26
283,moussoro,TD,1731396088,13.6408,16.4901,26.58,22,0,7.71
284,kemijarvi,FI,1731396088,66.7131,27.4306,0.62,99,100,1.62
285,nago,JP,1731396088,26.5881,127.9761,24.85,82,100,4.81
286,ixtapa,MX,1731396089,20.7,-105.2,25.57,83,40,0.0
287,sitka,US,1731396089,57.0531,-135.33,5.05,83,100,1.34
288,kamaishi,JP,1731396089,39.2667,141.8833,12.04,62,92,3.07
289,nishinoomote,JP,1731396089,30.7333,131.0,22.31,78,40,7.2
290,tabou,CI,1731396089,4.423,-7.3528,25.95,84,6,2.51
291,bougouni,ML,1731396090,11.417,-7.479,21.23,42,4,1.36
292,baissa,NG,1731396090,7.2333,10.6333,25.67,53,58,0.79
293,calvinia,ZA,1731396091,-31.4707,19.776,23.9,31,0,3.09
294,kuanda,RU,1731396091,56.3161,116.0806,-11.63,88,81,0.42
295,bikenibeu village,KI,1731396091,1.3673,173.1241,28.34,68,13,5.34
296,arar,SA,1731396091,30.9753,41.0381,19.01,48,40,0.0
297,tsiombe,MG,1731396092,-25.3,45.4833,34.1,36,65,1.6
298,guerrero negro,MX,1731396092,27.9769,-114.0611,15.88,83,96,5.51
299,kirakira,SB,1731396092,-10.4544,161.9205,27.37,85,100,5.22
300,margate,GB,1731396092,51.3813,1.3862,10.39,84,100,1.34
301,mbandaka,CD,1731396092,0.0487,18.2603,25.34,76,17,1.73
302,galle,LK,1731396093,6.0367,80.217,31.63,75,27,0.89
303,el nido,PH,1731396093,11.1858,119.3956,31.19,71,43,1.25
304,nelidovo,RU,1731396093,56.2211,32.7774,0.61,91,100,2.12
305,grimstad,NO,1731396093,58.3405,8.5934,5.19,75,100,1.25
306,kolwezi,CD,1731396094,-10.7148,25.4667,20.93,75,69,2.63
307,kone,NC,1731396094,-21.0595,164.8658,25.98,63,63,0.91
308,bom jesus da lapa,BR,1731396094,-13.255,-43.4181,21.83,93,77,2.14
309,novocheboksarsk,RU,1731396095,56.111,47.4776,0.31,80,20,6.0
310,thames,NZ,1731396095,-37.1333,175.5333,14.62,85,19,1.9
311,pattani,TH,1731396095,6.75,100.4167,30.84,85,100,1.06
312,jinghong,CN,1731396095,21.991,100.7341,28.8,56,25,0.51
313,ust'-uda,RU,1731396096,54.1742,103.0304,1.72,62,99,2.1
314,cloquet,US,1731396096,46.7216,-92.4594,-1.62,85,100,0.0
315,turbat,PK,1731396096,26.0023,63.044,32.78,13,0,3.51
316,singrauli,IN,1731396097,24.1997,82.6753,27.26,37,0,1.91
317,caninde,BR,1731396097,-4.3589,-39.3117,23.46,77,99,0.39
318,es castell,ES,1731396097,39.8795,4.2854,15.38,72,20,7.2
319,paita,PE,1731396098,-5.0892,-81.1144,16.91,90,14,3.69
320,yamada,JP,1731396098,39.4667,141.95,11.07,64,62,2.97
321,sete lagoas,BR,1731396098,-19.4658,-44.2467,21.57,80,95,1.08
322,alexandria,EG,1731396098,31.2156,29.9553,20.88,58,0,3.37
323,kogalym,RU,1731396099,62.2654,74.4791,-19.57,94,76,4.33
324,smithers,CA,1731396099,54.7804,-127.1743,1.18,100,100,1.03
325,northam,GB,1731396099,51.0333,-4.2167,8.12,85,44,3.47
326,nizhnesortymskiy,RU,1731396099,62.4397,71.7603,-14.61,93,97,1.31
327,pyt-yakh,RU,1731396100,60.7499,72.8582,-11.93,91,100,2.54
328,igarka,RU,1731396100,67.4667,86.5833,-21.54,97,100,3.2
329,fallon,US,1731396100,39.4735,-118.7774,4.93,59,75,2.57
330,ustka,PL,1731396101,54.5805,16.8619,2.54,71,19,2.46
331,princeton,US,1731396101,25.5384,-80.4089,26.12,93,0,1.54
332,vorkuta,RU,1731396101,67.5,64.0,-20.01,98,13,3.12
333,gunjur,GM,1731396101,13.2019,-16.7339,22.04,68,0,2.06
334,aykhal,RU,1731396102,66.0,111.5,-15.48,98,100,2.23
335,east london,ZA,1731396102,-33.0153,27.9116,22.52,73,20,6.17
336,barra de santo antonio,BR,1731396102,-9.4047,-35.5072,24.89,77,100,3.14
337,ushtobe,KZ,1731396103,45.2514,77.9838,2.17,98,100,2.9
338,kindu,CD,1731396103,-2.95,25.95,23.19,89,100,0.78
339,sisimiut,GL,1731396103,66.9395,-53.6735,-4.18,67,100,1.97
340,pyhajarvi,FI,1731396103,67.0701,27.2176,0.48,99,100,1.1
341,kasimov,RU,1731396103,54.9411,41.3953,-0.19,75,20,2.16
342,modimolle,ZA,1731396104,-24.7,28.4,20.73,64,99,3.01
343,sao felix do xingu,BR,1731396104,-6.6447,-51.995,21.09,98,99,0.18
344,nadi,FJ,1731396104,-17.8,177.4167,27.0,74,40,0.0
345,tanout,NE,1731396104,14.9709,8.8879,21.5,27,0,6.21
346,kargasok,RU,1731396105,59.0556,80.8572,-11.96,85,100,6.57
347,mudgee,AU,1731396105,-32.5943,149.5871,20.76,70,100,3.66
